organization,address,zip,main_phone,hours,payment,age_range_served,other_languages,behavioral_services_types,crisis_services,grief_services_availability,location
Howard Brown Health - Threshold South,734 W. 47th St.,60609,773-388-1600,"Weekdays: Monday, Wednesday, Thursday, & Friday 9am - 5pm; Tuesday, 10am - 7pm
Weekends: Saturday (3rd) 10am - 3pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old; 25-64 years old; Older than 64 years old,ASL; Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,FALSE,POINT (-87.644556001 41.809075992)
HRDI,340 E. 51st St.,60615,773-966-0333,Weekdays: Monday - Friday 6:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,TRUE,FALSE,POINT (-87.617655037 41.802364016)
HRDI - Community Triage Center,200 E. 115th St.,60628,773-291-2500,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 24/7",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,0,TRUE,FALSE,POINT (-87.617653025 41.68556098)
Humboldt Park Health,1044 N. Francisco Ave.,60622,773-292-8200,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old;,Spanish;Tagalog;,Behavioral Health Consulting; Case Management/Care Coordination; Inpatient Hospitalization for behavioral health; Intensive Outpatient Program; Psychiatry;,FALSE,FALSE,POINT (-87.699637007 41.900779)
Inner-City Muslim Action Network (IMAN),2744 W. 63rd St.,60629,773-434-4626,"Weekdays: Monday, Tuesday, Thursday, & Friday 9am - 5pm; Wednesday 11am - 7pm
Weekends: Saturday 8am - 12pm; Sunday 9am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Arabic; Spanish; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.692741969 41.779337)
Inner-City Muslim Action Network (IMAN),2749 W. 63rd St.,60629,773-434-4626,"Weekdays: Monday, Tuesday, Thursday, & Friday 9am - 5pm; Wednesday 11am - 7pm
Weekends: Saturday 8am - 12pm; Sunday 9am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Arabic; Spanish; Urdu,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,FALSE,TRUE,POINT (-87.692926036 41.77890902)
IWS Family Health - Angel Harvey Family Health Center,3600 W. Fullerton Ave.,60647,773-782-2800,"Weekdays: Monday, Wednesday, & Thursday 8am - 8pm; Tuesday 8am - 6pm; Friday 8am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Assertive Community Treatment; Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,FALSE,POINT (-87.717270017 41.924913014)
Lawndale Christian Health Center - Archer Ave,5122 S. Archer Ave.,60632,872-588-3560,"Weekdays: Monday, Wednesday, Thursday, & Friday 8:30am - 5pm; Tuesday 8:30am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.730428012 41.800883017)
Lawndale Christian Health Center - Breakthrough Clinic,3219 W. Carroll Ave.,60624,872-588-3580,"Weekdays: Monday, Wednesday, Thursday, & Friday 8:30am - 5pm; Tuesday 8:30am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term,FALSE,FALSE,POINT (-87.707101008 41.887208993)
Lawndale Christian Health Center - Farragut,3256 W. 24th St.,60623,872-588-3540,"Weekdays: Monday, Wednesday, Thursday, & Friday 8:30am - 5pm; Tuesday 8:30am - 7pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term,FALSE,FALSE,POINT (-87.706825826 41.84816834)
Lawndale Christian Health Center - Homan Square,3517 W. Arthington St.,60624,872-588-3510,"Weekdays: Monday & Tuesday 7:15am - 7pm; Wednesday, Thursday, & Friday 8:30am - 5pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - short term,FALSE,FALSE,POINT (-87.713376036 41.869208017)
Lawndale Christian Health Center - I AM ABLE Site,3410 W. Roosevelt Rd.,60624,773-826-2929,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Case Management/Care Coordination;Individual Psychotherapy - short term;,TRUE,FALSE,POINT (-87.711078975 41.866592989)
Lawndale Christian Health Center - Main Clinic,3860 W. Ogden Ave.,60623,872-588-3000,"Weekdays: Monday 8:30am - 7pm; Tuesday 7:15am - 7pm; Wednesday - Friday 7:15am - 5pm
Weekends: Saturday 8am - 12:30pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Group Therapy or Support Groups; Intensive Outpatient Program; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.722023981 41.852453012)
Lutheran Social Services of Illinois - Addiction Treatment Center - Kenmore,5517 N. Kenmore Ave.,60640,773-275-7962,Weekdays: Monday - Thursday 9am - 9pm; Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Group Therapy or Support Groups; Residential Rehabilitation; Individual SU Counseling;,FALSE,FALSE,POINT (-87.656185975 41.982431981)
Lutheran Social Services of Illinois - Portage Cragin Counseling Center,4840 W. Byron St.,60641,773-282-7800,Weekdays: Monday - Thursday 9am - 9pm; Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Polish; Spanish,Behavioral Health Consulting; Community Support Teams; Family Psychotherapy; Group Therapy/Support Groups; Individual Counseling; Psychiatry;  SU Outpatient Treatment;,TRUE,TRUE,POINT (-87.748737022 41.95176398)
Lutheran Social Services of Illinois - Welcoming Center,"5215 N. California Ave., Suite F101",60625,773-561-5809,Weekdays: Monday - Friday 8am - 7pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Group therapy/support groups; Individual Counseling; Psychiatry;,TRUE,TRUE,POINT (-87.698577031 41.976311012)
Metropolitan Family Services - Calumet Center,235 E. 103rd St.,60628,773-371-3642,"Weekdays: Monday & Friday 8:30am - 5pm; Tuesday, Wednesday, & Thursday 8:30am - 8pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;  Peer Support Services; Psychiatry;,FALSE,TRUE,POINT (-87.617334225 41.707203846)
Midwest Asian Health Association Community Mental Health Clinic - Chinatown,218 W 26th St.,60616,312-285-2287,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Cantonese; Chinese; Malay; Mandarin;,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term;,FALSE,FALSE,POINT (-87.632678006 41.845780011)
MYSI Corporation,3001 W. 111th St.,60655,773-840-4600,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - short term; Individual Psychotherapy - long term;,FALSE,FALSE,POINT (-87.696469989 41.691354006)
NAMI Chicago,"1801 W. Warner Ave., Suite 202",60613,312-563-0445,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old; 5-12 years old;13-17 years old; 18-24 years old; 25-64 years old; Older than 64 years old,Spanish,Case Management/Care Coordination; Helpline; Peer Support Services;,FALSE,FALSE,POINT (-87.674542008 41.956695012)
Nourishing Hope - Headquarters,1716 W. Hubbard St.,60622,773-525-1777,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Polish; Spanish,Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.670232033 41.890084991)
Nourishing Hope - La Casa Norte,3533 W. North Ave.,60647,773-525-1777,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Polish; Spanish,Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.715746019 41.909712014)
Nourishing Hope - Sheridan,3945 N. Sheridan Rd.,60613,773-525-1777,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Polish; Spanish,Case Management/Care Coordination; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.654103994 41.953994991)
PCC Community Wellness Center - Austin Family Health Center,5425 W. Lake St.,60644,773-378-3347,"Weekdays: Monday - Thursday 8am - 8pm; Friday 8am - 5pm
Weekends: Saturday 8am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.761427978 41.887040013)
PCC Community Wellness Center - Lake Street Family Health Center,14 W. Lake St.,60644,708-383-0113,"Weekdays: Monday, Tuesday, Wednesday, & Thursday 8am - 8pm; Friday 8am - 5pm
Weekends: Saturday: 8am - 12 pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Peer Support Services; Psychiatry;,FALSE,FALSE,POINT (-87.628492042 41.885884837)
PCC Community Wellness Center - Salud Family Health Center,5359 W. Fullerton Ave.,60639,773-836-2785,"Weekdays: Monday - Thursday 8am - 8pm; Friday 8am - 5pm
Weekends: Saturday 8am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old; 25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services; Psychiatry;,FALSE,FALSE,POINT (-87.760763042 41.92377098)
Phoenix Clinic Chicago,"1136 S. Delano Ct., Suite B201",60605,773-431-7397,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 8pm; Sunday 9am - 9pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.633130042 41.868470997)
Pilsen Wellness Center - Administration Site,2319 S. Damen Ave.,60608,773-579-0832,"Weekdays: Monday - Friday 8am - 8pm
Weekends: Saturday 9am - 5pm",Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Psychiatry; Psychotherapy;,FALSE,FALSE,POINT (-87.675453959 41.849669005)
Pilsen Wellness Center - Brighton Park,2456 W. 38th St.,60632,773-823-7743,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 5pm",Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.68671404 41.825267985)
Pilsen Wellness Center - CILA,2316 S. Damen Ave.,60608,773-927-6987,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 24/7",Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old; Males,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Community Support Teams; Intensive Outpatient Program; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.675883987 41.849669648)
Pilsen Wellness Center - Gage Park,3232 W. 55th St.,60632,773-424-3368,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 5pm",Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Case Management/Care Coordination; Psychiatry; Psychotherapy;,FALSE,FALSE,POINT (-87.704970999 41.793679987)
Pilsen Wellness Center - ORC,2015 W. Cermak Rd.,60608,773-890-0645,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 5pm",Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.67650396 41.851943015)
Pilsen Wellness Center - Pilsen Inn,2635 W. 23rd St.,60608,773-890-0645,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 24/7",Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.691903025 41.849863004)
Pilsen Wellness Center - South Shore,2938 E. 89th St.,60617,872-228-0080,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 4pm",Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;,Spanish,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.55234199 41.733902014)
Pilsen Wellness Center - SUTS Chicago,3113 W. Cermak Rd.,60623,773-277-3413,"Weekdays: Monday - Friday 6am - 8pm
Weekends: Saturday 7am - 5pm",Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.703467034 41.851531003)
Pilsen Wellness Center - Youth Wellness Center,2259 S. Damen Ave.,60608,872-281-7575,"Weekdays: Monday - Friday 9am - 8pm
Weekends: Saturday 9am - 5pm",Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Cantonese; Spanish,Case Management/Care Coordination; Individual Management; Psychiatry; Psychotherapy;,TRUE,TRUE,POINT (-87.675524032 41.85065698)
PrimeCare - Belmont Cragin Long Term Therapy Services,5635 W. Belmont Ave.,60634,773-736-1830,"Weekdays: Monday & Wednesday 7am - 8pm; Tuesday & Friday 9am - 5pm; Thursday 9am - 8pm
Weekends: Saturday 9am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish,Behavioral Health Consulting; Family Psychotherapy; Individual Psychotherapy - long term; Psychiatry;,FALSE,FALSE,POINT (-87.767881038 41.938200007)
PrimeCare - Fullerton Health Center,3924 W. Fullerton Ave.,60647,773-276-2229,"Weekdays: Monday 7am - 8pm; Tuesday 9:30am - 5pm; Wednesday - Friday 7am - 5pm
Weekends: Saturday 8am-2pm (1st, 2nd, 3rd, & 4th)",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting;,FALSE,FALSE,POINT (-87.72536199 41.924775006)
PrimeCare - Hamlin Health Center,1920 N. Hamlin Ave.,60647,773-772-7202,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old; 13-17 years old;18-24 years old,0,Behavioral Health Consulting  Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.722482974 41.91619902)
PrimeCare - Northwest Health Center,1649 N. Pulaski Rd.,60639,773-278-6868,"Weekdays: Monday 8:30am - 5pm; Tuesday 10am - 5pm; Wednesday 8am - 8pm; Thursday & Friday 8am - 5pm
Weekends: Saturday 9am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting;,FALSE,FALSE,POINT (-87.726031033 41.911469992)
PrimeCare - West Town Health Center,"1431 N. Western Ave., Suite 406",60622,312-491-5250,"Monday, Wednesday, & Friday 8am - 5pm; 
Tuesday 8am - 12:30pm (Psychiatry hours), 1pm - 8pm (Medical hours); Thursday 7:30am - 8pm
Weekends: Saturday 8am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Long Term Therapy Services;,FALSE,FALSE,POINT (-87.686771959 41.90830201)
PrimeCare - Wicker Park Health Center,"1127 N. Oakley Blvd., 2nd Floor",60622,312-770-2040,"Weekdays: Monday, Wednesday, & Friday 8am - 5pm; Tuesday 12:30pm - 8pm; Thursday 8am - 8pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Long Term Therapy Services;,FALSE,FALSE,POINT (-87.684532316 41.902081245)
PrimeCare - Young Family Clinic,"1431 N. Western Ave., Suite 202",60622,773-276-2272,"Weekdays: Monday 8am - 7pm; Tuesday 9am - 5pm; Wednesday 9am - 7pm; Thursday & Friday 8am - 5pm
Weekends: Saturday 9am - 2pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-18 years old,0,Behavioral Health Consulting; Individual Psychotherapy - long term,FALSE,FALSE,POINT (-87.686771959 41.90830201)
"Renaissance Social Services, Inc. - Living Room","4835 W. Chicago Ave., Unit 2",60651,312-350-2784,"Weekdays: Monday - Friday 24/7
Weekends: Saturday & Sunday 4pm - 12am",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old;,0,Living Room Mental Health Crisis Services; Peer Support Services;,TRUE,FALSE,POINT (-87.747172959 41.89468498)
Resilience - Central Office,"180 N. Michigan Ave., Suite 600",60601,312-443-9603,Weekdays: Monday - Friday 9am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish;,Group Therapy or Support Groups;,TRUE,FALSE,POINT (-87.624958021 41.885524984)
Saint Anthony Hospital Community Wellness Program - Back of the Yards,4600 S. Wood St.,60609,773-523-5079,Weekdays: 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.670215018 41.81022599)
Saint Anthony Hospital Community Wellness Program - Little Village Site,2826 West Cermak Road,60623,773-523-5079,Weekdays: 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,10-17 years old;18-24 years old;25-64 years old; Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.696595969 41.852132991)
Saint Anthony Hospital Community Wellness Program- Brighton Park Site,4195 South Archer Ave. Chicago IL 60632,60623,773-523-5079,Weekdays: 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,10-17 years old;18-24 years old;25-64 years old; Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.698790016 41.817074004)
Saint Anthony Hospital Community Wellness Program- MLK Legacy Site,3810 W. 16th Street,60623,773-522-5299,Weekdays: 8:30am - 5pm,"Services Free as needed, available to patrons of the Library.",10-17 years old;18-24 years old;25-64 years old; Older than 64 years old;,Spanish,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,TRUE,POINT (-87.720736009 41.858978159)
Sinai Chicago -  Adult Outpatient Behavior Health,2653 W. Ogden Ave.,60608,773-257-5300,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish; ASL,Behavioral Health Consulting; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.692940034 41.86174498)
Sinai Chicago - Holy Cross Hospital Outpatient Behavioral Health Clinic,2601 W. Marquette Rd.,60629,773-565-2550,Weekdays: Monday - Friday 8:30am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,Spanish; ASL,Behavioral Health Consulting; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Intensive Outpatient Program; Psychiatry;,FALSE,TRUE,POINT (-87.689538993 41.771379012)
Sinai Chicago - Under the Rainbow,1500 S. Fairfield Ave.,60608,773-257-4750,Weekdays: Monday - Friday 9am - 7pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old;13-17 years old;,Spanish; ASL,Behavioral Health Consulting; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,FALSE,POINT (-87.694730995 41.860828)
Sinai HCH - Marquette Park,"2701 W 68th Street, 6th Floor",60629,773-884-8200,"Weekdays: Monday, Wednesday, Friday 8:30am-5:00pm; Tuesday and Thursday 7:00am-5:00pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,5-12 years old; 13-17 years old; 18-24 years old; 25-64 years old; Older than 64 years old,Spanish; ASL,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.690959977 41.769295983)
Sinai Medical Group - South Lawndale,1108 S. Kedzie Ave.,60612,773-722-2712,Weekdays: Monday - Friday 8am - 5pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Spanish; ASL,Behavioral Health Consulting; Individual Psychotherapy - long term; Individual Psychotherapy - short term;,FALSE,FALSE,POINT (-87.70580656 41.867986644)
Sista Afya Community Care NFP,1817 E. 71st St.,60649,708-292-8730,Weekdays: Monday - Friday 9am - 6pm,Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;,0,Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Peer Support Services;,FALSE,FALSE,POINT (-87.580963004 41.765877005)
St. Bernard Hospital - Outpatient Behavioral Health Services,326 W. 64th St.,60621,773 896-2624,"Weekdays: Monday - Friday, 8:00-5:00pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,18-24 years old;25-64 years old;Older than 64 years old,Interpreter Services,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Group Therapy or Support Groups; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Inpatient Hospitalization for behavioral health; Intensive Outpatient Program; Peer Support Services; Psychiatry;,FALSE,TRUE,POINT (-87.633000038 41.778621018)
Tapestry 360 Health - Devon,1300 W. Devon Ave.,60660,773-751-7850,"Weekdays: Monday, Tuesday, & Thursday 8:30am - 8pm; Wednesday & Friday 8:30am - 5pm
Weekends: Saturday 8:30am - 12pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,0-5 years old;5-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old;,0,Behavioral Health Consulting; Group Therapy or Support Groups; Psychiatry;,FALSE,FALSE,POINT (-87.663307994 41.998361997)
TCA Health - Altgeld,1029 E. 130th St.,60628,773-995-6300,"Weekdays: Monday, Tuesday, Thursday, & Friday 8:30am - 5:30pm; Wednesday 8:30am - 6:30pm
Weekends: Saturday 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,7-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,0,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry;,FALSE,TRUE,POINT (-87.596302977 41.65874899)
TCA Health - Chatham,8425 S. Cottage Grove Ave.,60619,773-995-6300,"Weekdays: Monday 9am - 6pm; Tuesday - Friday 8:30am - 5:30pm
Weekends: Saturday (3rd) 9am - 1pm",Services Free As Needed; Accepts Insurance and Uninsured Patients,7-12 years old;13-17 years old;18-24 years old;25-64 years old;Older than 64 years old,0,Behavioral Health Consulting; Case Management/Care Coordination; Family Psychotherapy; Individual Psychotherapy - long term; Individual Psychotherapy - short term; Psychiatry (available Friday's).,FALSE,TRUE,POINT (-87.604525037 41.74129699)
